Type,IP,Count,Details,First Seen,Last Seen
SSH Brute-Force,192.168.64.6,8,Users targeted: kkesslero,2025-12-22T00:32:58,2025-12-22T00:33:01
Web Scan,192.168.64.6,6282,Suspicious paths: 1241,22/Dec/2025:00:33:37 +0000,22/Dec/2025:00:33:42 +0000
